antecedents,consequents,antecedent support,support,confidence,lift
PH NEVE FT 20M L32P28UN,LEITE FERMENTADO YAKULT 6X80G,0.06969981577141206,0.003684571758841166,0.05286343612334801,1.264292442507683
LEITE FERMENTADO YAKULT 6X80G,PH NEVE FT 20M L32P28UN,0.0418126648123397,0.003684571758841166,0.08812095032397409,1.2642924425076831
OLEO SOJA LIZA PET 900ML,PH PERSONAL VIP FD 40 ROLOSX30M,0.02561138604919987,0.003684571758841166,0.14386459802538787,2.173910298655465
PH PERSONAL VIP FD 40 ROLOSX30M,OLEO SOJA LIZA PET 900ML,0.06617779864899036,0.003684571758841166,0.055676855895196505,2.173910298655465
SUPER CANDIDA 5LT AGUA SANITARIA,ALCOOL LIQ BACT 70 INPM TOPFORM 1L,0.03578008163855074,0.003684571758841166,0.10297829379101463,2.8708440151225156
ALCOOL LIQ BACT 70 INPM TOPFORM 1L,SUPER CANDIDA 5LT AGUA SANITARIA,0.03587038976989488,0.003684571758841166,0.1027190332326284,2.8708440151225156
OMO LAVA ROUPAS LAVAG PERFEITA 5LT,REQUEIJAO TRADIC CATUPIRY 500G,0.05479897409962793,0.003684571758841166,0.06723796967699407,1.6025387124995496
REQUEIJAO TRADIC CATUPIRY 500G,OMO LAVA ROUPAS LAVAG PERFEITA 5LT,0.041957157822490335,0.003684571758841166,0.0878174773999139,1.6025387124995494
KETCHUP HEINZ 1.033KG,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.02129465737094968,0.003684571758841166,0.17302798982188294,1.6336745710229146
PAPEL TOALHA KITCHEN JUMB FD C360FL,KETCHUP HEINZ 1.033KG,0.1059133764404147,0.003684571758841166,0.034788540245566164,1.6336745710229146
FILTRO DE PAPEL120UN MM TAM 103,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,0.025665570928006358,0.003684571758841166,0.14356087262491202,1.8549337861729005
MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,FILTRO DE PAPEL120UN MM TAM 103,0.07739406856193332,0.003684571758841166,0.04760793465577596,1.8549337861729005
BANANA PRATA KG,LEITE FERMENTADO YAKULT 6X80G,0.06503991619405411,0.0036484485063035077,0.05609552901971675,1.3415918184473596
LEITE FERMENTADO YAKULT 6X80G,BANANA PRATA KG,0.0418126648123397,0.0036484485063035077,0.08725701943844492,1.3415918184473596
